Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.07      7.20     0.01                             rprj3 (real.c:615 @ 407193)
  0.07      7.20     0.01                             rprj3 (real.c:620 @ 4071a2)
  0.07      7.21     0.01                             rprj3 (real.c:618 @ 4071d7)
  0.07      7.21     0.01                             rprj3 (real.c:616 @ 407325)
  0.07      7.22     0.01                             rprj3 (real.c:614 @ 40732f)
  0.07      7.22     0.01                             vranlc (randdp.c:130 @ 40a73e)
  0.07      7.23     0.01                             zran3 (real.c:969 @ 40357a)
  0.00      7.23     0.00   131642     0.00     0.00  randlc (randdp.c:5 @ 40a5e0)
  0.00      7.23     0.00   131072     0.00     0.00  vranlc (randdp.c:72 @ 40a6b0)
  0.00      7.23     0.00      493     0.00     0.00  norm2u3 (real.c:808 @ 4023f0)
  0.00      7.23     0.00      168     0.00     0.00  psinv (real.c:449 @ 405d50)
  0.00      7.23     0.00      147     0.00     0.00  interp (real.c:651 @ 407900)
  0.00      7.23     0.00      147     0.00     0.00  resid (real.c:511 @ 405290)
  0.00      7.23     0.00      147     0.00     0.00  rprj3 (real.c:570 @ 4067d0)
  0.00      7.23     0.00        4     0.00     0.00  wtime_ (wtime.c:8 @ 401800)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.14% of 7.23 seconds

index % time    self  children    called     name
                0.00    0.00       2/131642      zran3 (real.c:927 @ 402db0) [2117]
                0.00    0.00       4/131642      power (real.c:1135 @ 402bb9) [1309]
                0.00    0.00      52/131642      power (real.c:1136 @ 402ba0) [1306]
                0.00    0.00     512/131642      zran3 (real.c:935 @ 402df9) [2124]
                0.00    0.00  131072/131642      zran3 (real.c:946 @ 402ec8) [2135]
[146]    0.0    0.00    0.00  131642         randlc (randdp.c:5 @ 40a5e0) [146]
-----------------------------------------------
                0.00    0.00  131072/131072      zran3 (real.c:943 @ 402ebf) [2133]
[147]    0.0    0.00    0.00  131072         vranlc (randdp.c:72 @ 40a6b0) [147]
-----------------------------------------------
                0.00    0.00       2/493         zran3 (real.c:915 @ 402c7c) [2100]
                0.00    0.00       2/493         zran3 (real.c:916 @ 402c8f) [2103]
                0.00    0.00       2/493         zran3 (real.c:922 @ 402d6e) [2109]
                0.00    0.00       2/493         zran3 (real.c:1086 @ 404729) [2222]
                0.00    0.00     147/493         rprj3 (real.c:627 @ 407562) [1680]
                0.00    0.00     168/493         psinv (real.c:485 @ 40639c) [1384]
                0.00    0.00     170/493         resid (real.c:547 @ 405910) [1510]
[148]    0.0    0.00    0.00     493         norm2u3 (real.c:808 @ 4023f0) [148]
-----------------------------------------------
                0.00    0.00      21/168         mg3P (real.c:406 @ 40a368) [1247]
                0.00    0.00      21/168         mg3P (real.c:432 @ 40a5ad) [1261]
                0.00    0.00     126/168         mg3P (real.c:425 @ 40a4e7) [1255]
[149]    0.0    0.00    0.00     168         psinv (real.c:449 @ 405d50) [149]
-----------------------------------------------
                0.00    0.00      21/147         mg3P (real.c:430 @ 40a546) [1259]
                0.00    0.00     126/147         mg3P (real.c:415 @ 40a460) [1253]
[150]    0.0    0.00    0.00     147         interp (real.c:651 @ 407900) [150]
-----------------------------------------------
                0.00    0.00      21/147         mg3P (real.c:431 @ 40a588) [1260]
                0.00    0.00     126/147         mg3P (real.c:420 @ 40a4a4) [1254]
[151]    0.0    0.00    0.00     147         resid (real.c:511 @ 405290) [151]
-----------------------------------------------
                0.00    0.00     147/147         mg3P (real.c:397 @ 40a25f) [1241]
[152]    0.0    0.00    0.00     147         rprj3 (real.c:570 @ 4067d0) [152]
-----------------------------------------------
                0.00    0.00       2/4           timer_start (c_timers.c:48 @ 40a8d0) [2019]
                0.00    0.00       2/4           elapsed_time (c_timers.c:22 @ 40a910) [541]
[153]    0.0    0.00    0.00       4         wtime_ (wtime.c:8 @ 401800) [153]
-----------------------------------------------

 This table describes the call tree of the program, and was sorted by
 the total amount of time spent in each function and its children.

 Each entry in this table consists of several lines.  The line with the
 index number at the left hand margin lists the current function.
 The lines above it list the functions that called this function,
 and the lines below it list the functions this one called.
 This line lists:
     index	A unique number given to each element of the table.
		Index numbers are sorted numerically.
		The index number is printed next to every function name so
		it is easier to look up where the function is in the table.

     % time	This is the percentage of the `total' time that was spent
		in this function and its children.  Note that due to
		different viewpoints, functions excluded by options, etc,
		these numbers will NOT add up to 100%.

     self	This is the total amount of time spent in this function.

     children	This is the total amount of time propagated into this
		function by its children.

     called	This is the number of times the function was called.
		If the function called itself recursively, the number
		only includes non-recursive calls, and is followed by
		a `+' and the number of recursive calls.

     name	The name of the current function.  The index number is
		printed after it.  If the function is a member of a
		cycle, the cycle number is printed between the
		function's name and the index number.


 For the function's parents, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the function into this parent.

     children	This is the amount of time that was propagated from
		the function's children into this parent.

     called	This is the number of times this parent called the
		function `/' the total number of times the function
		was called.  Recursive calls to the function are not
		included in the number after the `/'.

     name	This is the name of the parent.  The parent's index
		number is printed after it.  If the parent is a
		member of a cycle, the cycle number is printed between
		the name and the index number.

 If the parents of the function cannot be determined, the word
 `<spontaneous>' is printed in the `name' field, and all the other
 fields are blank.

 For the function's children, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the child into the function.

     children	This is the amount of time that was propagated from the
		child's children to the function.

     called	This is the number of times the function called
		this child `/' the total number of times the child
		was called.  Recursive calls by the child are not
		listed in the number after the `/'.

     name	This is the name of the child.  The child's index
		number is printed after it.  If the child is a
		member of a cycle, the cycle number is printed
		between the name and the index number.

 If there are any cycles (circles) in the call graph, there is an
 entry for the cycle-as-a-whole.  This entry shows who called the
 cycle (as parents) and the members of the cycle (as children.)
 The `+' recursive calls entry shows the number of function calls that
 were internal to the cycle, and the calls entry for each member shows,
 for that member, how many times it was called from other members of
 the cycle.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

Index by function name

  [42] comm3 (real.c:869 @ 402767) [18] psinv (real.c:466 @ 406163) [138] resid (real.c:529 @ 405ad6)
  [77] comm3 (real.c:870 @ 402782) [28] psinv (real.c:468 @ 40622f) [100] resid (real.c:528 @ 405add)
  [73] comm3 (real.c:877 @ 402854) [111] psinv (real.c:470 @ 406238) [152] rprj3 (real.c:570 @ 4067d0)
